Question,Answer
"In the sentence ``Jon wants to be a guitarist because he thinks it is a beautiful instrument."" what does ‘it’ refer to?

"," The idea of being a guitarist to play guitar or guitar.

"
"Proofread this text: ``The most significant advancement in the advertising sector in the last three decades may be adtech. Gogle and Facebook now generates 10-figure revenues thanks to ad innovation""

"," The most significant advancement in the advertising sector in the last three decades may be adtech. Google and Facebook now generate 10-figure revenues thanks to ad innovation.

"
"Is this sentence correct ``Every woman must make their own bag."". If not, please correct it.

"," It is incorrect, ``their"" must change to ``her"".

"
"Is this sentence correct “My sisters home is next to his' home.”. If not, please correct it.

"," It is incorrect. 
Correct sentence: ``My sister's home is next to his home.""

"
"Is this sentence correct “At eight years old, my father gave me a pony for Christmas.”. If not, please correct it.

"," It is correct.

"
"She _____ in a bank but she left and got a job as a gardener. 
1- used to work
2- used to working
3- got used to work

"," Option 1.

"
"Since we had the baby I _____ much sleep.
1- 'm not used to get
2- 've got used to not getting
3- used to get

"," Option 2.

"
"These shoes are ___ small.
1- a bit
2- absolutely

"," Option 1.

"
"If he _____ the penalty, we would have won Saturday's game.
1- scored
2- had scored
3- would score

"," Option 2.

"
"The Egyptian pyramids ______ thousands of years ago.
1- are built
2- been built
3- were built

"," Option 3.

"
"Complete the sentences with 'who', 'which', 'whose', 'when', or 'where'.
My cousin, ____ you met last year, just got married.

"," who or whom

"
"choice the correct option:
That can't be right. I _____ you!
1- don't believe
2- 'm not believing

"," Option 1.

"
"She told me they sent the exam results last week but mine _____ haven't arrived. 
1- yet 
2- still 
3- already

"," Option 2.

"
"choice the correct option:
Have you eaten _____? If not, we can go to that new Italian place. 
1- yet  
2- just 
3- still

"," Option 1.

"
"I've never had ____ hard-working students before! 
1- such 
2- so

"," Option 1.

"
"I wish she _____ her shoes there. I'm always falling over them. 
1- wouldn't leave 
2- left 
3- wouldn't have left

"," Option 1.

"
"Which option is correct about this question: 
Shall we get takeaway for lunch today? 
1- British English 
2- American English

"," Option 1.

"
"choice the correct option:
Her birthday is on 24 ___. 
1- June 
2- june 

"," Option 1.

"
"'We could ask Andi for some ideas.' → He suggested _____ Andi for some ideas. 
1- to ask
2- asking
3- could ask

"," Option 2.

"
"Have your parents ___ yet?
1- been arriving
2- arrived

"," Option 2.

"
"The nurse notified the patient that his shift is over. what is ``his"" referring to?

"," The nurse.

"
"The boy entered his room and saw a saw a ball and an elephant. He shouted ``how on earth did it go through the door"". What is ``it"" referring to in the sentence?

"," elephant

"
"How many vowels are there?

",NONE
