Question,Answer
"What happens if I hold a piece of paper horizontally with two hands and I let go of one hand? 

"," 
The paper will tilt downward on the side that you let go of.

"
"There's an apple inside a blue box. There's also a red box inside the blue box. The red box has a lid on it. How can I get the apple?

"," 
If the apple is inside the blue box, go ahead and get it. 
If the apple is inside the red box, first remove the lid of the red box, and then get the apple from there.

"
"The trophy didn't fit in the suitcase because it was too small. What was too small?

"," The suitcase was too small.

"
"My son said since the laptop didn't fit in the black briefcase, there was no way it will fit in the brown briefcase. Which briefcase is smaller then?

"," The brown briefcase.

"
"I'm in my car, in my garage. The car is turned off. All of a sudden, I slam my foot on the brakes. What happens?

"," Nothing will happen.

"
"I'm in my car, in my garage. The car is turned on. All of a sudden, I slam my foot on the brakes. What happens?

"," Nothing will happen.

"
"I'm frying an egg, but when I flip the egg I use too much force. What happens?

"," 
The egg may be tossed outside of the pan.

"
"Suppose I see my friend on the other side of a lake from me, standing at the water's edge, and I see her reflection in the water. Will her reflection look inverted left-right or up-down?

"," Up-down.

"
"If I tie a string to a toy truck, and push the string, what happens to the truck?

"," The truck will move towards you.

"
"A girl throws a ball 10 feet away but it turns around and comes straight back to her. In which direction did she throw the ball?

"," upwards

"
"Where did the balloon go when the child lost control of it?

"," Upwards.

"
"In front of us are six gears numbered 1 to 6, mounted on axles in a row. Each gear is engaged with the next gear. If gear number 3 is rotated clockwise, in which direction will gears 1 and 6 rotate?


"," 
gear 1 will rotate clockwise, gear 6 will rotate counterclockwise.

"
"7 axles are equally spaced around a circle. A gear is placed on each axle such that each gear is engaged with the gear to its left and the gear to its right. The gears are numbered 1 to 7 around the circle. If gear 3 were rotated clockwise, in which direction would gear 7 rotate?

"," there is a contradiction. this is not a viable physical setup

"
