Question,Answer
"Assume I have the following Python function:


def myfun(i): if i != 0: return i * myfun(i-2)
else: return(1)


 
What would the output be if I call myfun(6)? 


"," 48

"
"Make an ASCII banner that says hello

"," Any sort of ASCII text banner which visualizes 'hello'.

"
"what is the output of this python code: True and not False or False

"," True.

"
"What do the following evaluate to? 1) 3 != '3', 2) 3 === '3', 3) True and not False or False, 4) (1==1) is True

"," 1) True, 2) syntax error, 3) True, 4) True. 

"
"What is the order of operations in Python?

"," The order of operations in Python follows the standard mathematical convention known as PEMDAS, which stands for Parentheses, Exponents, Multiplication and Division (from left to right), and Addition and Subtraction (from left to right).

"
"Write a Python code to check whether a given string is a palindrome or not.

"," A Python implementation that computes palindrome.

"
"Write a Python code to check whether two given strings are anagrams.

"," A Python implementation that computes anagrams.

"
"The list [2,5,1,3,7,4] contains numbers between 1 and 7 but one number is missing. Write a Python program to find it.

"," A Python program that find the missing number(6).

"
"Write a Python code to multiply the odd numbers in a list with 10, and raise the rest to the power of 2. Run it on [2,3,10,5,1].

"," A Python code that multiplies the odd numbers in a list with 10, and raises the rest to the power of 2. Results is: [4, 30, 100, 50, 10]

"
"Write a Python code to find the average of numbers in the range 1 to N, both numbers included

"," A Python code to find the average of numbers in the range 1 to N.

"
"Can you run previous function for n=5?

"," 3.

"
"convert this HTML to text: 
 
<h1 class=""heading1"" id=""neural-magic-platform-documentation"">Neural Magic Platform Documentation</h1>


"," Neural Magic Platform Documentation.

"
"can you write a python code to do the above

"," A Python code to convert HTML to Text.

"
"find the bug in this code 


a = 1

while a == 1:
 b = input(""What's your name?"")
 print(""Hi"", b, "", welcome to the amazing loop"")



"," Edit the fourth line as:

print(""Hi"", b, "", welcome to the amazing loop"") 


 
Another problem is that it will run forever. 



"
"Write an optimal program that sorts a list of numbers from 0 to 1 million and then generates a random number in the same interval and adds to the list in such a way that the list remains in order.

"," A program that address the question.

"
"Write a program that checks the numbers between A and B and displays the prime numbers for which the sum of their digits is divisible by C and one digit is even.

"," A program that address the question.

"
"Write a program that will find all such numbers which are divisible by 7 but are not a multiple of 5, between 2000 and 3200 (both included). The numbers obtained should be printed in a comma-separated sequence on a single line.

"," As defined in the question.

"
"Write a program that accepts a sequence of comma-separated numbers from the console and generates a list and a tuple that contains every number.

"," A program that can get comma-separated numbers from the terminal and create a lit and a tuple from them.

"
"Define a Python class that has at least two methods: - getString: to get a string from console input - printString: to print the string in upper case.

"," A properly defined class with aforementioned methods.

"
"Write a program that takes 2 digits, X, Y as input, and generates a 2-dimensional array. The element value in the i-th row and j-th column of the array should be i*j.

"," Any program that address the question.

"
"Write a program that accepts a sequence of lines as input and prints the lines after making all characters in the sentence capitalized.

"," Any program that address the question.

"
"Write a program that accepts a sequence of whitespace-separated words as input and prints the words after removing all duplicate words and sorting them alphanumerically.

"," Any program that address the question.

"
"Write a program that accepts a sequence of comma-separated 4-digit binary numbers as its input and then check whether they are divisible by 5 or not. The numbers that are divisible by 5 are to be printed in a comma-separated sequence.

"," Any program that address the question.

"
"Write a program, which will find all such numbers between 1000 and 3000 (both included) such that each digit of the number is an even number. The numbers obtained should be printed in a comma-separated sequence on a single line.

"," Any program that address the question.

"
"Write a program that accepts a sentence and calculates the number of letters and digits.

"," Any program that address the question.

"
"Write a program that computes the value of a+aa+aaa+aaaa with a given digit as the value of a.

"," Any program that results are logical. The question does not state that how values should add to each other (as string or int).

"
"Write a program that computes the net amount of a bank account based on a
transaction log from console input. The transaction log format is shown as following:  
D 100  
W 200  
D means deposit while W means withdrawal.

"," Any program that address the question.

"
"Define a class with a generator that can iterate the numbers, which are divisible by 7, between a given range of 0 and n.

"," A class that address the question.
For n=100 answer is:
0, 7, 14, 21, 28, 35,42, 49, 56, 63, 70, 77, 84, 91, 98 

"
"Write a function to compute 5/0 and use try/except to catch the exceptions.

"," A function to compute 5/0 (divide by zero) using try/except.

"
"Assuming that we have some email addresses in the ”username@companyname.com” format, please write a program to print the user name of a given email address. Both user names and company names are composed of letters only.

"," Any program to print a username in an email address.

"
"Write a program to read an ASCII string and convert it to a Unicode string encoded by utf-8.

"," Any program that read and convert ASCII code to unicode(utf-8).

"
"Write a program to compute 1/2+2/3+3/4+...+n/n+1 with a given n input by console (n>0).

"," Any program that address the question.

"
"Please write a program that accepts basic mathematics expressions from the console and print the evaluation result.

"," Any program to evaluate a given expression with basic mathematical operations.

"
"Please write a program to output a random even number between 0 and 10 inclusive using random module and list comprehension.

"," Any program that address the question.

"
"Write a python code to measure the running time of ""1+1” for 100 times.


"," Any program to calculate the running time of execution of ""1+1” for 100 times.

"
